Header||cmf||Activos Bancos 2||202005||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6615248||91497||5264548||87157||1350700||4340||159196||108202||40438||10556||2772||1191504||1568||6615248
Banco BTG Pactual Chile||170002||0||0||0||0||0||0||0||0||170002||1062088||22271||1062088||22271||0||0||0||0||0||0||0||0||0||1062088
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3790952||75202||3139745||68870||651207||6332||94778||90505||2030||2243||5163||556429||1169||3790952
Banco de Chile||834714||0||0||0||0||235170||191256||43914||464||600008||30649041||698823||17144871||380118||13504170||318705||4258855||2964289||1088118||206448||292083||9245315||26622||30884211
Banco de Crédito e Inversiones||483223||0||0||0||0||483793||483793||0||570||0||38203392||748428||25633817||395222||12569575||353206||3802777||2349249||1326328||127200||307346||8766798||45860||38687185
Banco del Estado de Chile||687325||0||0||0||0||690963||663974||1110||3638||0||26982193||940537||14509264||553078||12472929||387459||2109773||1730033||304379||75361||208029||10363156||179430||27673156
Banco do Brasil S.A.||3299||3300||3300||0||1||0||0||0||0||0||37177||1443||37177||1443||0||0||0||0||0||0||0||0||0||40477
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3613722||248973||83942||3228||3529780||245745||3018757||1015725||1951367||51665||241969||511023||3776||3613722
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2233052||46570||2181063||45622||51989||948||12833||10863||977||993||710||39156||238||2233052
Banco Ripley||0||0||0||0||0||0||0||0||0||0||781248||103261||1122||220||780126||103041||754931||115562||639369||0||102918||25195||123||781248
Banco Santander-Chile||5451||1||0||0||0||5457||0||5457||7||0||34998166||949725||17914702||579263||17083464||370462||5199267||3873650||1163851||161766||301864||11884197||68598||35003624
Banco Security||295||295||0||295||0||0||0||0||0||0||6186989||103035||4971306||78113||1215683||24922||500337||318283||108218||73836||23605||715346||1317||6187284
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||277106||4180||277106||4180||0||0||0||0||0||0||0||0||0||277106
HSBC Bank (Chile)||27075||16161||16161||0||6||10924||0||0||4||0||173806||11557||173631||11556||175||1||175||175||0||0||1||0||0||200891
Itaú Corpbanca||68844||0||0||0||0||69166||44737||0||322||0||24044170||805937||16303096||569635||7741074||236302||2617866||1934188||480135||203543||191884||5123208||44418||24113336
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||477386||0||0||0||0||1538||0||1035||3||475851||26859311||572435||13962538||265497||12896773||306938||3243662||1686718||1468572||88372||260533||9653111||46405||26860849
