Header||cmf||Activos Bancos 2||202009||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6472944||104402||5096524||100402||1376420||4000||154362||105552||39709||9101||2320||1222058||1680||6472944
Banco BTG Pactual Chile||240000||0||0||0||0||0||0||0||0||240000||1140066||21831||1140066||21831||0||0||0||0||0||0||0||0||0||1140066
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3732142||77027||3015810||71243||716332||5784||93103||88869||2073||2161||4697||623229||1087||3732142
Banco de Chile||2410953||0||0||0||0||261452||204507||56945||499||2150000||31308308||766224||18144967||432403||13163341||333821||3942083||2759504||1023431||159148||300425||9221258||33396||31569760
Banco de Crédito e Inversiones||346403||0||0||0||0||346809||346809||0||406||0||36815059||763487||24550925||453731||12264134||309756||3479118||2184376||1203633||91109||261403||8785016||48353||37161868
Banco del Estado de Chile||542849||1428||1428||0||25||544348||494472||49876||2902||0||27055252||964673||14795814||600703||12259438||363970||1955476||1643298||259403||52775||192051||10303962||171919||27601028
Banco do Brasil S.A.||7097||7100||7100||0||3||0||0||0||0||0||27636||1205||27636||1205||0||0||0||0||0||0||0||0||0||34736
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3287681||208569||81531||3499||3206150||205070||2685221||911584||1735908||37729||201853||520929||3217||3287681
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2234351||48014||2181221||47238||53130||776||12820||11019||965||836||628||40310||148||2234351
Banco Ripley||0||0||0||0||0||0||0||0||0||0||678532||81423||985||222||677547||81201||653823||94681||559142||0||81116||23724||85||678532
Banco Santander-Chile||10798||4828||0||4828||4||5985||0||5985||11||0||34869285||1002079||17838247||658075||17031038||344004||4927492||3752414||1049189||125889||281213||12103546||62791||34880098
Banco Security||240||240||0||240||0||0||0||0||0||0||6311708||115386||5144150||89822||1167558||25564||468432||318737||91030||58665||24492||699126||1072||6311948
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||226902||3002||226902||3002||0||0||0||0||0||0||0||0||0||226902
HSBC Bank (Chile)||15805||15811||15811||0||6||0||0||0||0||0||141652||10420||141503||10419||149||1||149||149||0||0||1||0||0||157463
Itaú Corpbanca||86840||0||0||0||0||87244||59680||0||404||0||23445205||777793||15862251||569252||7582954||208541||2454885||1854436||439065||161384||165960||5128069||42581||23532449
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||745||0||0||0||0||745||0||0||0||0||25810022||536278||13080246||290023||12729776||246255||2969048||1558436||1345635||64977||204986||9760728||41269||25810767
