Header||cmf||Activos Bancos 1||202003||202101||1145||18
Banco Bice||6643685||1505026||758716||185444||1661||484||27915||14216||9374445||1573742||393547||477603||112207||23195||143868
Banco BTG Pactual Chile||988326||95211||266117||108783||0||135||2245||11110||1861905||145463||0||0||0||0||14174
Banco Consorcio||3783585||562313||1576569||111908||16662||2660||9381||3508||6209717||112676||96701||43683||92795||78687||157559
Banco de Chile||31406458||2780469||3322792||4757187||55441||52647||225135||145728||44796698||11398844||1788984||1644905||695268||431354||918308
Banco de Crédito e Inversiones||37214107||3085935||7555672||6654188||200566||28516||261810||235793||57476626||11035385||1454052||1686162||938851||496090||1459094
Banco del Estado de Chile||27402650||5926574||8183187||2713448||209522||19091||350942||101461||46163465||4346338||1188527||840663||517842||976124||2277326
Banco do Brasil S.A.||36376||4434||98543||0||0||0||47||461||139367||1714||15156||0||0||0||0
Banco Falabella||3854391||633515||841789||663828||15033||313||9629||25541||6135616||3199069||0||0||0||136502||271805
Banco Internacional||2148273||101879||415446||458654||53103||329||2093||24393||3466875||332483||56998||195686||29406||42898||125637
Banco Ripley||858905||96689||132953||12214||0||12||3021||18659||1137131||1510612||0||0||0||55729||118839
Banco Santander-Chile||34355159||3755786||3600960||14925196||0||10605||190892||208041||59310458||11132674||2042177||1494615||611032||679232||1957827
Banco Security||6191897||582438||1030936||425629||0||2095||22025||7886||8548681||1247914||243519||365717||0||96537||296896
Bank of China, Agencia en Chile||0||4167||31362||0||0||0||581||567||37184||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||258013||53851||9297||425||0||0||115||665||328274||23789||54456||0||0||0||0
HSBC Bank (Chile)||306322||352427||563421||435377||0||273||786||2710||1931807||41719||29194||0||0||0||0
Itaú Corpbanca||23713729||1089476||4227888||5466878||101158||15604||55358||197969||38460195||5926074||1396255||1302063||203125||671185||1511406
JP Morgan Chase Bank, N.A.||0||433966||222366||392284||0||1016||1140||3137||1093016||0||0||0||0||0||0
Scotiabank Chile||26423871||1667738||2109680||7296349||12297||16710||115984||236310||40670162||6572883||2062782||745132||249000||484166||1055568
