Header||cmf||Activos Bancos 2||202003||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6643685||92110||5313776||87812||1329909||4298||166418||107970||46296||12152||2812||1163491||1486||6643685
Banco BTG Pactual Chile||150000||0||0||0||0||0||0||0||0||150000||988326||16994||988326||16994||0||0||0||0||0||0||0||0||0||988326
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3783585||69532||3164912||64049||618673||5483||96660||92527||1955||2178||4492||522013||991||3783585
Banco de Chile||1342754||160000||160000||0||58||383623||328879||54744||811||800000||30862835||705866||17212512||358860||13650323||347006||4441453||3009002||1192178||240273||320279||9208870||26727||31406458
Banco de Crédito e Inversiones||618235||0||0||0||0||618948||618948||0||713||0||36595159||717981||23862922||386182||12732237||331799||3976254||2424780||1417085||134389||285446||8755983||46353||37214107
Banco del Estado de Chile||783004||500||500||0||9||787060||684731||6813||4547||0||26615090||884489||14104854||506210||12510236||378279||2203434||1775798||345558||82078||207382||10306802||170897||27402650
Banco de Brasil S.A.||0||0||0||0||0||0||0||0||0||0||36376||1152||36376||1152||0||0||0||0||0||0||0||0||0||36376
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3854391||242125||84832||3170||3769559||238955||3264534||1064128||2145056||55350||235006||505025||3949||3854391
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2148273||36017||2097531||35117||50742||900||12464||10309||1143||1012||700||38278||200||2148273
Banco Ripley||0||0||0||0||0||0||0||0||0||0||858905||102407||1202||207||857703||102200||831936||126221||705715||0||102077||25767||123||858905
Banco Santander-Chile||12935||3||0||0||0||12945||0||12945||13||0||34342211||906980||17226800||541716||17115411||365264||5451276||3933873||1325460||191943||297965||11664135||67299||34355159
Banco Security||244||181||0||181||0||63||63||0||0||0||6191653||102794||4937771||78248||1253882||24546||526997||320162||124351||82484||23234||726885||1312||6191897
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||6300||6314||6314||0||14||0||0||0||0||0||251699||2953||251699||2953||0||0||0||0||0||0||0||0||0||258013
HSBC Bank (Chile)||110276||17308||17308||0||6||93007||0||0||33||0||196007||10172||195864||10171||143||1||143||143||0||0||1||0||0||306322
Itaú Corpbanca||858731||0||0||0||0||50158||15806||0||427||809000||23663571||804164||15951147||558736||7712424||245428||2676626||1921632||527224||227770||201524||5035798||43904||23713729
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||530516||0||0||0||0||1826||0||1826||3||528693||26422045||550552||13525039||237892||12897006||312660||3404183||1730125||1573804||100254||265254||9492823||47406||26423871
