Header||cmf||Activos Bancos 2||201909||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6065313||79002||4840035||75175||1225278||3827||152859||97174||43087||12598||2574||1072419||1253||6065313
Banco BTG Pactual Chile||79000||0||0||0||0||0||0||0||0||79000||872978||10129||872978||10129||0||0||0||0||0||0||0||0||0||872978
Banco Consorcio||29975||30000||30000||0||25||0||0||0||0||0||3167200||58087||2734478||53230||432722||4857||96680||93861||1308||1511||4109||336042||748||3197200
Banco de Chile||984651||100000||100000||0||36||435474||313322||122152||787||450000||29563538||655561||16181776||313101||13381762||342460||4501112||3043359||1156078||301675||315248||8880650||27212||30099012
Banco de Crédito e Inversiones||344890||0||0||0||0||345364||345364||0||474||0||32398951||649598||20489447||352557||11909504||297041||3870219||2390950||1326985||152284||257868||8039285||39173||32744315
Banco del Estado de Chile||769252||752||752||0||13||773218||740780||32438||4705||0||25065604||751082||12764893||390160||12300711||360922||2261157||1825515||335373||100269||196472||10039554||164450||25839574
Banco do Brasil S.A.||12764||12772||12772||0||8||0||0||0||0||0||33337||2653||33337||2653||0||0||0||0||0||0||0||0||0||46109
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3774187||210904||87485||3159||3686702||207745||3207137||1096359||2052810||57968||204420||479565||3325||3774187
Banco Internacional||0||0||0||0||0||0||0||0||0||0||1982368||37060||1938100||36294||44268||766||10509||8535||981||993||589||33759||177||1982368
Banco Ripley||0||0||0||0||0||0||0||0||0||0||893402||96428||1415||208||891987||96220||864699||151184||713515||0||96114||27288||106||893402
Banco Santander-Chile||4130||0||0||0||0||4138||0||4138||8||0||31901069||820261||15938951||498808||15962118||321453||5062334||3430806||1378390||253138||260382||10899784||61071||31905207
Banco Security||3100||1137||0||1137||1||1987||1987||0||23||0||5819748||94531||4596493||70724||1223255||23807||538523||336420||119839||82264||22528||684732||1279||5822872
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||5408||5420||5420||0||12||0||0||0||0||0||167172||1758||167172||1758||0||0||0||0||0||0||0||0||0||172592
HSBC Bank (Chile)||40065||17495||17495||0||6||22584||0||0||8||0||207239||8489||207063||8488||176||1||176||176||0||0||1||0||0||247318
Itaú Corpbanca||109516||0||0||0||0||58012||47012||0||496||52000||22536946||673499||15182084||456833||7354862||216666||2708607||1949945||505856||252806||180592||4646255||36074||22594958
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||5592||0||0||0||0||5595||0||5399||3||0||24439361||526586||12174623||233299||12264738||293287||3443783||1784391||1542646||116746||248515||8820955||44772||24444956
