Header||cmf||Activos Bancos 1||202008||202101||1145||18
Banco Bice||6396199||1393113||1155430||119781||0||484||27503||66539||9338390||1316416||323076||457308||74718||41663||162541
Banco BTG Pactual Chile||1140527||155113||258202||76529||8848||135||1988||10782||2009975||130570||0||0||0||0||28270
Banco Consorcio||3660790||347267||1992237||94031||9051||2139||9112||3134||6230999||120142||65363||42410||58919||57016||180439
Banco de Chile||31236471||2336159||5199587||3150927||51454||49103||219516||132317||45246528||11028348||1270521||1574103||389535||328767||1293001
Banco de Crédito e Inversiones||37322640||3273459||8581778||6085993||199281||27728||248703||220238||57729469||10111698||990476||1568465||685534||530191||1583650
Banco del Estado de Chile||27871725||10026199||9723363||1840867||101647||17919||348118||98467||51471953||4483810||1022913||819468||383340||899267||2597471
Banco do Brasil S.A.||36078||1866||0||146||0||0||35||379||37889||1107||8712||0||0||0||1793
Banco Falabella||3341458||231522||1443048||430292||15115||313||9598||24522||5595535||3142052||0||0||0||145022||298282
Banco Internacional||2204109||303636||618098||441523||0||339||2500||23799||3954324||462257||42486||187110||16202||44793||169797
Banco Ripley||706078||157469||185591||12007||0||12||2664||17011||1110018||1201381||0||0||0||49447||114085
Banco Santander-Chile||34974868||4234571||6070322||10791946||0||10226||186399||199642||58521708||10764891||1709116||1421836||400505||588119||1858297
Banco Security||6227884||490655||1282601||239005||0||2095||21556||7739||8587675||1184065||202798||378052||0||149414||391534
Bank of China, Agencia en Chile||0||6048||29392||0||0||0||528||465||36913||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||237010||86604||0||2241||0||0||78||476||328746||27635||45933||0||0||0||0
HSBC Bank (Chile)||169348||423071||487327||150602||0||273||695||2467||1470903||36342||29229||0||0||0||9507
Itaú Corpbanca||23607957||3571947||3764183||4654112||250906||14394||52863||185597||37599460||5596785||1200706||1265659||118225||502820||1540380
JP Morgan Chase Bank, N.A.||0||1060563||125258||298412||0||1016||1018||2556||1584415||0||0||0||0||0||0
Scotiabank Chile||25740685||1142825||2611269||5747704||103766||16710||108086||235256||38161606||6195718||1533696||720641||167176||436243||1186802
