Header||cmf||Activos Bancos 1||202007||202101||1145||18
Banco Bice||6395985||1575866||604506||127419||1883||484||27760||13069||9100798||1310104||325323||452444||66926||29534||160191
Banco BTG Pactual Chile||1135612||163352||278902||94404||4946||135||2022||10863||2019575||130346||0||0||0||0||28823
Banco Consorcio||3660250||656186||1603224||115581||10621||2139||9181||3259||6167960||108242||82674||41939||57197||51843||176112
Banco de Chile||31066089||2156518||4167686||3264277||52281||50814||221286||133613||44721673||10946352||1327229||1578020||381438||361806||1224340
Banco de Crédito e Inversiones||37452059||2994192||8118657||6104711||159057||28090||250133||221920||57291241||10080290||1017052||1564450||712190||535159||1570429
Banco del Estado de Chile||27966885||3379207||10917194||2001825||109914||18397||348840||97100||46233033||4448908||1068746||824458||372097||989359||2602234
Banco do Brasil S.A.||36447||1672||0||247||0||0||37||396||38193||1178||11182||0||0||0||1789
Banco Falabella||3478846||165687||1108364||548087||15084||313||9437||24297||5444715||3221694||0||0||0||179656||322669
Banco Internacional||2184872||536899||502792||471879||0||331||2519||23610||4030679||468931||51124||189244||14965||46599||165105
Banco Ripley||741235||87579||183720||10967||0||12||2724||17516||1053580||1125932||0||0||0||64215||129572
Banco Santander-Chile||34918042||3265641||6630664||11312161||0||10120||187760||199127||58978913||10817027||1751436||1428544||424890||633259||1870143
Banco Security||6183492||408693||1423202||265109||0||2095||21716||7875||8512967||1184625||203702||379536||0||130210||372814
Bank of China, Agencia en Chile||0||7909||27247||0||0||0||540||487||36669||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||247080||52247||0||3118||0||0||80||514||304779||27253||44631||0||0||0||0
HSBC Bank (Chile)||179334||562718||455457||204733||0||273||723||2517||1778251||33002||28402||0||0||0||9238
Itaú Corpbanca||23556125||2999457||4541383||4883504||321065||15013||53677||187239||37989607||5486526||1222899||1248113||126530||565768||1535309
JP Morgan Chase Bank, N.A.||0||2349028||177913||314394||0||1016||1035||2654||2998450||12315||0||0||0||0||0
Scotiabank Chile||25824560||1231343||2810790||5966171||87499||16709||111038||234031||39376240||6292202||1539545||721553||179064||498800||1216796
