Header||cmf||Activos Bancos 1||202005||202101||1145||18
Banco Bice||6615248||1379699||542555||143594||0||484||28042||13698||8988282||1529593||392719||466184||87816||26592||144202
Banco BTG Pactual Chile||1062088||150174||317578||103321||4739||135||1955||11026||2173404||126694||0||0||0||0||28778
Banco Consorcio||3790952||604314||1729058||98557||2370||2660||9334||3416||6386485||119893||91301||42229||74599||81737||176305
Banco de Chile||30884211||2484100||7182795||3877659||40964||52108||223675||140265||46906896||11137863||1649718||1601876||484081||449322||1084746
Banco de Crédito e Inversiones||38687185||3783668||9280299||6224723||184736||28698||260071||227893||61217330||10706956||1332581||1629951||817749||525812||1522142
Banco del Estado de Chile||27673156||5646268||9058626||2132023||104691||18891||348821||99352||46448788||4474781||1209671||820607||426689||1031916||2417539
Banco do Brasil S.A.||40477||5767||32443||88||0||0||40||431||78477||1467||11878||0||0||0||2116
Banco Falabella||3613722||212558||1292824||563479||15023||313||9233||24472||5784418||3207860||0||0||0||150597||286134
Banco Internacional||2233052||483674||419602||471436||0||337||2339||24054||3896140||503571||48511||189937||24220||47207||162691
Banco Ripley||781248||62154||232415||10762||0||12||2860||18123||1124312||1544805||0||0||0||56671||120344
Banco Santander-Chile||35003624||2637334||7794594||12850796||0||10760||191175||204144||61672359||11133860||2034955||1471471||474168||625312||1821383
Banco Security||6187284||642095||1283647||303751||0||2095||21995||7649||8687524||1246557||224181||370147||0||116016||321464
Bank of China, Agencia en Chile||0||9134||28410||0||0||0||553||529||39116||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||277106||53713||5215||383||0||0||96||591||339506||24023||51805||0||0||0||0
HSBC Bank (Chile)||200891||414152||488275||204686||0||273||705||2622||1961258||35704||17973||0||0||0||9768
Itaú Corpbanca||24113336||2128335||5379722||5229910||127577||15680||54694||196045||39707764||5597503||1362740||1316566||152592||676421||1561659
JP Morgan Chase Bank, N.A.||0||812651||177377||340486||0||1016||1079||2951||1661129||12116||0||0||0||0||0
Scotiabank Chile||26860849||1854485||2846484||6397472||22900||16709||116847||234402||41367251||6599504||1875545||737795||223440||509889||1189967
