Header||cmf||Activos Bancos 1||201909||202101||1145||18
Banco Bice||6065313||319773||1206090||117335||1762||482||27645||14535||8051673||1608988||357862||511634||107550||18892||135985
Banco BTG Pactual Chile||872978||36243||136466||69453||0||135||1932||10361||1394836||130625||0||0||0||0||9385
Banco Consorcio||3197200||102364||1733181||58998||7094||2299||8815||3713||5217184||93742||86331||43918||99131||30155||98999
Banco de Chile||30099012||1650317||3115420||2544156||86864||49169||220018||153758||39447348||10814132||1690235||1643872||696960||346371||820793
Banco de Crédito e Inversiones||32744315||2416866||5617262||3995331||131660||26900||269108||231996||47035562||9465388||997599||1568440||855683||506579||1360181
Banco del Estado de Chile||25839574||2406789||8998644||1364700||229031||17840||357662||102348||41487525||4778876||943373||790996||488106||873345||2029708
Banco do Brasil S.A.||46109||1522||0||0||0||0||59||546||46756||2297||11690||0||0||974||2161
Banco Falabella||3774187||118294||655363||301821||0||313||11505||28916||5025545||3534414||0||0||0||115890||238296
Banco Internacional||1982368||437828||142974||366114||239232||407||2283||24408||3341096||640658||65225||189920||25730||66580||142403
Banco Ripley||893402||18581||122662||13542||0||12||3156||20039||1090096||1643884||0||0||0||44613||108207
Banco Santander-Chile||31905207||2108704||3164108||7304132||0||10191||185158||209825||46579439||12331334||1705527||1449582||581928||633259||1852359
Banco Security||5822872||437363||721851||255462||0||2095||22180||6734||7519467||1180950||248173||349913||0||88625||258340
Bank of China, Agencia en Chile||0||7158||38023||0||0||0||645||683||47013||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||172592||50546||9404||252||0||0||199||904||236531||27863||35017||0||0||0||0
HSBC Bank (Chile)||247318||137530||438576||178469||0||273||996||2953||1184129||34694||30119||0||0||0||0
Itaú Corpbanca||22594958||828517||2961987||3208718||168945||9689||55586||205401||32514274||5703148||1100862||1262182||202562||484063||1287343
JP Morgan Chase Bank, N.A.||0||136138||244111||343988||0||1016||862||4153||804711||2007||0||0||0||0||0
Scotiabank Chile||24444956||1143809||1141498||4127347||26617||16121||109486||234609||32618862||6830118||2002869||757499||222383||416312||1021808
