Header||cmf||Activos Bancos 1||202001||202101||1145||18
Banco Bice||6180014||882065||1269680||154554||0||484||29153||14272||8768639||1576953||364454||466658||103532||24079||136176
Banco BTG Pactual Chile||940138||120841||282132||79031||0||135||2204||10251||1633380||130598||0||0||0||0||14067
Banco Consorcio||3581567||237379||1649587||100513||21886||2448||8701||3663||5741136||100231||96404||41934||90604||69861||153962
Banco de Chile||30633917||2072853||3332896||3702320||64184||50764||220905||149777||41908321||11207166||1543446||1633911||555918||418712||889474
Banco de Crédito e Inversiones||35205682||3253253||6716579||5096470||191342||27833||257776||233608||52885858||10492382||1212984||1652484||935708||482200||1435182
Banco del Estado de Chile||26476697||3824925||8756630||2001250||183984||18368||347256||96591||43292852||4333981||1102215||847275||452259||957484||2177394
Banco do Brasil S.A.||35115||14370||83673||0||0||0||47||493||133390||2419||14631||0||0||0||0
Banco Falabella||3933963||153791||859657||581026||0||313||10047||26884||5800140||3341690||0||0||0||140092||271407
Banco Internacional||2042624||78153||591752||357072||0||427||2361||23790||3293562||339129||54018||198414||25154||42034||122445
Banco Ripley||885214||20148||197191||16422||0||12||2972||19059||1153489||1551046||0||0||0||55241||120835
Banco Santander-Chile||33424546||2417247||3437938||10920072||0||10467||195411||207278||52469984||12143374||1872005||1489729||586316||652702||1915548
Banco Security||6161258||503071||905113||342171||0||2095||22156||8081||8171821||1221540||218135||364049||0||99447||283364
Bank of China, Agencia en Chile||0||6802||32361||0||0||0||592||606||40882||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||238265||90067||9261||3588||0||0||134||736||344609||22021||46206||0||0||0||0
HSBC Bank (Chile)||237980||184778||539789||336560||0||273||838||2785||1525123||36570||20503||0||0||0||0
Itaú Corpbanca||23346698||1433775||3904771||3777727||151720||15366||57962||204568||35620712||6056048||1180589||1380826||214517||685932||1512320
JP Morgan Chase Bank, N.A.||0||398627||187615||302823||0||1016||1036||3301||1264738||2000||0||0||0||0||0
Scotiabank Chile||25644310||1104975||1867706||5707479||18457||16709||113012||236207||37097340||6827608||2110284||751703||251497||471007||1004745
