Header||cmf||Activos Bancos 2||201910||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6091514||79587||4854841||75810||1236673||3777||156320||100402||43366||12552||2529||1080353||1248||6091514
Banco BTG Pactual Chile||0||0||0||0||0||0||0||0||0||0||828749||10769||828749||10769||0||0||0||0||0||0||0||0||0||828749
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3222371||61664||2769163||56517||453208||5147||97596||94476||1432||1688||4353||355612||794||3222371
Banco de Chile||894175||470023||470023||0||272||425196||317482||107714||772||0||29584109||670301||16129400||318447||13454709||351854||4489710||3032888||1151216||305606||323695||8964999||28159||30479328
Banco de Crédito e Inversiones||360533||0||0||0||0||361997||361997||0||1464||0||32810638||657969||20818869||354377||11991769||303592||3885819||2393464||1339095||153260||265340||8105950||38252||33172635
Banco del Estado de Chile||685352||762||762||0||119||689304||683037||6267||4595||0||25245374||768091||12936112||401406||12309262||366685||2272355||1829485||340194||102676||201043||10036907||165642||25935440
Banco do Brasil S.A.||15730||15742||15742||0||12||0||0||0||0||0||35437||2700||35437||2700||0||0||0||0||0||0||0||0||0||51179
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3807584||220149||86717||3148||3720867||217001||3240284||1095265||2086004||59015||213556||480583||3445||3807584
Banco Internacional||0||0||0||0||0||0||0||0||0||0||1944270||37395||1898669||36664||45601||731||11081||9080||961||1040||554||34520||177||1944270
Banco Ripley||0||0||0||0||0||0||0||0||0||0||897686||100171||1372||214||896314||99957||869438||148969||720469||0||99843||26876||114||897686
Banco Santander-Chile||5295||0||0||0||0||5303||0||5303||8||0||32216488||830966||16215188||505332||16001300||325634||5058127||3442553||1360114||255460||263268||10943173||62366||32221791
Banco Security||1301||566||0||566||0||757||757||0||22||0||5890425||97817||4636074||73557||1254351||24260||543246||338257||120904||84085||22908||711105||1352||5891748
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||5383||5395||5395||0||12||0||0||0||0||0||179466||1978||179466||1978||0||0||0||0||0||0||0||0||0||184861
HSBC Bank (Chile)||45936||32671||32671||0||12||13282||0||0||5||0||208443||8449||208273||8448||170||1||170||170||0||0||1||0||0||254396
Itaú Corpbanca||67451||0||0||0||0||67987||49471||0||536||0||22764732||736049||15324031||502492||7440701||233557||2753661||1981760||515743||256158||196230||4687040||37327||22832719
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||316399||0||0||0||0||1945||0||1945||2||314456||24504655||532602||12168679||233628||12335976||298974||3449441||1782235||1550214||116992||253494||8886535||45480||24506600
