Header||cmf||Activos Bancos 2||201911||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6272862||85884||5016572||82080||1256290||3804||163120||106531||43972||12617||2592||1093170||1212||6272862
Banco BTG Pactual Chile||94004||0||0||0||0||0||0||0||0||94004||877619||13245||877619||13245||0||0||0||0||0||0||0||0||0||877619
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3399593||66963||2909856||61653||489737||5310||98108||94740||1526||1842||4454||391629||856||3399593
Banco de Chile||2158308||100005||100005||0||83||358990||319538||39452||746||1700142||30194717||691828||16601362||334108||13593355||357720||4472016||3027489||1136267||308260||328659||9121339||29061||30653712
Banco de Crédito e Inversiones||429395||0||0||0||0||429889||429889||0||494||0||34437132||680687||22214755||369321||12222377||311366||3897474||2407588||1333131||156755||267843||8324903||43523||34867021
Banco del Estado de Chile||687894||0||0||0||117||692948||691433||1515||4937||0||25790879||809123||13443084||433560||12347795||375563||2258612||1811948||340870||105794||208537||10089183||167026||26483827
Banco do Brasil S.A.||20092||20106||20106||0||14||0||0||0||0||0||36930||785||36930||785||0||0||0||0||0||0||0||0||0||57036
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3803452||225088||86903||2964||3716549||222124||3229283||1091864||2078330||59089||218722||487266||3402||3803452
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2020160||34040||1973223||33272||46937||768||12166||10031||1078||1057||611||34771||157||2020160
Banco Ripley||0||0||0||0||0||0||0||0||0||0||873870||103359||1327||211||872543||103148||845848||144350||701498||0||103031||26695||117||873870
Banco Santander-Chile||6303||0||0||0||0||6313||0||6313||10||0||32976671||865687||16380205||524786||16596466||340901||5499767||3894432||1347502||257833||277994||11096699||62907||32982984
Banco Security||870||435||0||435||0||437||437||0||2||0||6037461||101103||4767712||76803||1269749||24300||542338||335657||120392||86289||22979||727411||1321||6038333
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||6154||6167||6167||0||13||0||0||0||0||0||215944||2406||215944||2406||0||0||0||0||0||0||0||0||0||222111
HSBC Bank (Chile)||113719||35789||35789||0||13||77971||0||0||28||0||215406||9550||215249||9549||157||1||157||157||0||0||1||0||0||329166
Itaú Corpbanca||219513||0||0||0||0||65986||45738||0||479||154006||23564110||780218||15979116||536819||7584994||243399||2800818||2018279||523455||259084||205044||4784176||38355||23630096
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||299058||0||0||0||0||1260||0||749||48||297846||25213797||537219||12803050||234009||12410747||303210||3416110||1759104||1534845||122161||257765||8994637||45445||25215057
