Header||cmf||Activos Bancos 2||201912||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6228650||80435||4957561||76539||1271089||3896||165655||106704||46256||12695||2587||1105434||1309||6228650
Banco BTG Pactual Chile||0||0||0||0||0||0||0||0||0||0||904445||14593||904445||14593||0||0||0||0||0||0||0||0||0||904445
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3473357||62668||2944168||57264||529189||5404||98115||94346||1719||2050||4529||431074||875||3473357
Banco de Chile||1139433||150007||150007||0||54||360131||289337||70794||704||630053||30019470||685418||16284109||327773||13735361||357645||4532300||3039560||1195614||297126||329598||9203061||28047||30529608
Banco de Crédito e Inversiones||457640||0||0||0||0||458145||458145||0||505||0||33880778||668321||21610172||357095||12270606||311226||3936633||2417146||1363321||156166||269592||8333973||41634||34338923
Banco del Estado de Chile||457003||0||0||0||0||460806||457275||3531||3803||0||25812815||819225||13389855||443046||12422960||376179||2243662||1795216||347458||100988||209270||10179298||166909||26273621
Banco do Brasil S.A.||17688||17698||17698||0||10||0||0||0||0||0||33447||1293||33447||1293||0||0||0||0||0||0||0||0||0||51145
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3911440||238268||86247||3093||3825193||235175||3334163||1092895||2183093||58175||231691||491030||3484||3911440
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2014029||31991||1965652||31159||48377||832||12411||10220||1100||1091||646||35966||186||2014029
Banco Ripley||0||0||0||0||0||0||0||0||0||0||894316||105821||1298||214||893018||105607||866492||139311||727181||0||105495||26526||112||894316
Banco Santander-Chile||14833||0||0||0||0||14852||0||14852||19||0||32716883||893148||15914831||512442||16802052||380706||5539057||3910398||1377710||250949||312245||11262995||68461||32731735
Banco Security||568||286||0||286||0||284||284||0||2||0||6051247||100526||4761744||75368||1289503||25158||543953||330940||126528||86485||23689||745550||1469||6051817
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||5546||5558||5558||0||12||0||0||0||0||0||218592||2244||218592||2244||0||0||0||0||0||0||0||0||0||224150
HSBC Bank (Chile)||27263||15105||15105||0||5||12167||0||0||4||0||193849||8320||193686||8319||163||1||163||163||0||0||1||0||0||221121
Itaú Corpbanca||56205||0||0||0||0||56635||37803||0||430||0||23199360||780418||15525090||531799||7674270||248619||2798229||2005038||537741||255450||203326||4876041||45293||223255995
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||81127||0||0||0||0||2277||0||391||1||78851||25347159||534890||12785938||231007||12561221||303883||3459325||1743635||1598726||116964||257908||9101896||45975||25349436
