Header||cmf||Activos Bancos 1||202002||202101||1145||18
Banco Bice||6272589||1150557||806915||176073||15721||484||30441||14256||8782342||1592408||352350||468418||101162||23036||138152
Banco BTG Pactual Chile||943921||42436||252544||86443||17653||135||2258||11119||1594931||138349||0||0||0||0||14119
Banco Consorcio||3614383||153676||1597203||117361||16861||2448||9277||3585||5692528||111115||94379||42330||93775||75272||154179
Banco de Chile||30605182||1884523||3524221||4036717||98089||51564||221098||148085||42447826||11291277||1573942||1655970||599669||425951||900468
Banco de Crédito e Inversiones||35779874||2883053||7080284||5532181||220104||28084||259632||234194||54167716||10835161||1187306||1680386||937954||488789||1438012
Banco del Estado de Chile||26644439||3259660||8568845||2355011||228936||18677||346561||102030||43214879||4470116||1096656||847718||461035||966001||2210131
Banco do Brasil S.A.||41435||4785||35857||0||0||0||45||479||82235||2477||14882||0||0||0||0
Banco Falabella||3923207||149038||823887||582206||15015||313||9846||26119||5800628||3210999||0||0||0||140534||275509
Banco Internacional||2074845||58189||484522||366796||0||394||2041||24515||3247874||331295||52419||196178||25640||44787||125314
Banco Ripley||877353||19367||150355||17691||0||12||2886||18846||1181691||1541416||0||0||0||56387||120768
Banco Santander-Chile||33787663||2134412||3605221||12430938||0||10536||192142||207028||54523520||11585490||1951038||1491698||560428||612206||1936180
Banco Security||6135286||505947||993323||380880||26061||2095||22108||7983||8303547||1217887||216737||366371||0||96011||286665
Bank of China, Agencia en Chile||0||6504||32351||0||0||0||587||586||40545||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||243436||70838||9274||4386||0||0||127||701||331341||23708||47327||0||0||0||0
HSBC Bank (Chile)||273939||100285||589340||391912||0||273||807||2747||1760658||42664||21083||0||0||0||0
Itaú Corpbanca||23448686||1091966||4397389||4250511||101369||15594||57241||202032||36807856||5967219||1201830||1372532||205552||689524||1526446
JP Morgan Chase Bank, N.A.||0||388227||182324||304232||0||1016||1125||3218||1096570||0||0||0||0||0||0
Scotiabank Chile||25939643||774065||2235476||6218157||18505||16709||114402||237860||38230249||6969486||2083096||746088||303969||479926||1032195
