Header||cmf||Activos Bancos 2||202008||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6396199||104536||5031143||100345||1365056||4191||153290||105321||38827||9142||2580||1211766||1611||6396199
Banco BTG Pactual Chile||180000||0||0||0||0||0||0||0||0||180000||1140527||21310||1140527||21310||0||0||0||0||0||0||0||0||0||1140527
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3660790||74349||2977145||68267||683645||6082||93770||89539||2076||2155||4933||589875||1149||3660790
Banco de Chile||2231746||0||0||0||0||232235||194702||37533||489||2000000||31004236||668062||17812663||378786||13191573||289276||3990634||2804981||1019339||166314||258062||9200939||31214||31236471
Banco de Crédito e Inversiones||435044||0||0||0||0||435559||435559||0||515||0||36887081||742128||24614221||414080||12272860||328048||3552237||2240031||1221541||90665||278480||8720623||49568||37322640
Banco del Estado de Chile||692090||1406||1406||0||25||694297||594294||71081||3588||0||27176022||951919||14882618||580824||12293404||371095||1991790||1666659||269116||56015||197746||10301614||173349||27871725
Banco do Brasil S.A.||6997||7000||7000||0||3||0||0||0||0||0||29078||1207||29078||1207||0||0||0||0||0||0||0||0||0||36078
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3341458||223432||81888||3448||3259570||219984||2741921||928125||1774283||39513||216530||517649||3454||3341458
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2204109||47676||2151994||46853||52115||823||12679||10902||939||838||668||39436||155||2204109
Banco Ripley||0||0||0||0||0||0||0||0||0||0||706078||91463||1023||224||705055||91239||681048||100243||580805||0||91143||24007||96||706078
Banco Santander-Chile||8193||4867||0||4865||4||3336||0||3336||6||0||34966665||1000847||18003856||643578||16962809||357269||4936902||3761413||1046047||129442||291043||12025907||66226||34974868
Banco Security||1542||1543||0||1543||1||0||0||0||0||0||6226341||112561||5051532||86277||1174809||26284||478477||324455||92871||61151||25309||696332||975||6227884
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||237010||3738||237010||3738||0||0||0||0||0||0||0||0||0||237010
HSBC Bank (Chile)||15628||15634||15634||0||6||0||0||0||0||0||153714||10980||153559||10979||155||1||155||155||0||0||1||0||0||169348
Itaú Corpbanca||59572||0||0||0||0||59955||48287||0||383||0||23548002||775584||15932248||562658||7615754||212926||2495859||1881381||445575||168903||169272||5119895||43654||23607957
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||340290||0||0||0||0||1743||0||0||1||338548||25738942||554519||13002002||288131||12736940||266388||3020925||1585661||1365905||69359||223401||9716015||42987||25740685
