Header||cmf||Activos Bancos 2||202007||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6395985||102300||5039366||98053||1356619||4247||153966||105687||38638||9641||2660||1202653||1587||6395985
Banco BTG Pactual Chile||180000||0||0||0||0||0||0||0||0||180000||1135612||21966||1135612||21966||0||0||0||0||0||0||0||0||0||1135612
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3660250||75031||2990391||68510||669859||6521||94645||90230||2131||2284||5428||575214||1093||3660250
Banco de Chile||3039036||0||0||0||0||239450||189887||49563||453||2800039||30826639||678442||17519648||374945||13306991||303497||4093290||2867796||1033042||192452||273071||9213701||30426||31066089
Banco de Crédito e Inversiones||446772||0||0||0||0||447297||447297||0||525||0||37004762||744937||24665516||396734||12339246||348203||3661398||2282230||1267631||111537||300300||8677848||47903||37452059
Banco del Estado de Chile||699541||273||273||0||5||703255||625008||42579||3982||0||27263357||972267||14905531||594582||12357826||377685||2040334||1689763||280306||70265||201387||10317492||176298||27966885
Banco do Brasil S.A.||4298||4300||4300||0||2||0||0||0||0||0||32147||1229||32147||1229||0||0||0||0||0||0||0||0||0||36447
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3478846||254107||82607||3469||3396239||250638||2880071||960403||1871235||48433||246992||516168||3646||3478846
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2184872||44937||2132915||44090||51957||847||12742||10850||952||940||680||39215||167||2184872
Banco Ripley||0||0||0||0||0||0||0||0||0||0||741235||102783||1061||225||740174||102558||715718||106308||609410||0||102450||24456||108||741235
Banco Santander-Chile||6085||4682||0||4681||4||1408||0||1408||1||0||34911952||988737||17918765||629206||16993187||359531||5010397||3789886||1072641||147870||294064||11982790||65467||34918042
Banco Security||1507||1508||0||1508||1||0||0||0||0||0||6181984||106409||4992206||80087||1189778||26322||492891||329056||97430||66405||25295||696887||1027||6183492
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||247080||3682||247080||3682||0||0||0||0||0||0||0||0||0||247080
HSBC Bank (Chile)||15219||15224||15224||0||5||0||0||0||0||0||164110||12309||163953||12308||157||1||157||157||0||0||1||0||0||179334
Itaú Corpbanca||37390||0||0||0||0||37461||37461||0||71||0||23518664||785234||15889840||568010||7628824||217224||2517773||1886706||449426||181641||174066||5111051||43158||23556125
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||435086||0||0||0||0||610||0||0||0||434476||25823950||569123||13005496||279353||12818454||289770||3116843||1626772||1410416||79655||244575||9701611||45195||25824560
