Header||cmf||Activos Bancos 2||202001||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6180014||85843||4886383||81851||1293631||3992||169838||109622||48030||12186||2626||1123793||1366||6180014
Banco BTG Pactual Chile||0||0||0||0||0||0||0||0||0||0||940138||14568||940138||14568||0||0||0||0||0||0||0||0||0||940138
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3581567||65273||3007546||60094||574021||5179||97663||93895||1815||1953||4349||476358||830||3581567
Banco de Chile||1224818||350000||350000||0||173||375686||307912||67774||737||500042||29908231||684843||16211810||332109||13696421||352734||4491430||3034730||1211871||244829||325102||9204991||27632||30633917
Banco de Crédito e Inversiones||492651||0||0||0||0||493192||493192||0||541||0||34712490||684652||22264782||367554||12447708||317098||3956442||2438309||1395767||122366||273945||8491266||43153||35205682
Banco del Estado de Chile||596788||0||0||0||116||600779||533144||3676||3875||0||25875918||823197||13426386||453593||12449532||369604||2228417||1800125||349864||78428||201918||10221115||167686||26476697
Banco do Brasil S.A.||0||0||0||0||0||0||0||0||0||0||35115||1103||35115||1103||0||0||0||0||0||0||0||0||0||35115
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3933963||239154||85769||3123||3848194||236031||3351636||1090587||2207278||53771||232223||496558||3808||3933963
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2042624||32319||1993426||31455||49198||864||12644||10482||1131||1031||683||36554||181||2042624
Banco Ripley||0||0||0||0||0||0||0||0||0||0||885214||104304||1252||210||883962||104094||857783||134696||723087||0||103984||26179||110||885214
Banco Santander-Chile||18230||0||0||0||0||18252||0||18252||22||0||33406294||895927||16479092||520265||16927202||375662||5511983||3932754||1394199||185030||307987||11415219||67675||33424546
Banco Security||319||0||0||0||0||320||320||0||1||0||6160938||99284||4871805||74837||1289133||24447||544448||329433||129923||85092||23104||744685||1343||6161258
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||5914||5927||5927||0||13||0||0||0||0||0||232338||2364||232338||2364||0||0||0||0||0||0||0||0||0||238265
HSBC Bank (Chile)||40730||16123||16123||0||6||24622||0||0||9||0||197235||9130||197086||9129||149||1||149||149||0||0||1||0||0||237980
Itaú Corpbanca||114508||60000||60000||0||22||55081||23003||0||551||0||23231617||798822||15478598||549581||7753019||249241||2786642||1997045||555179||234418||203544||4966377||45697||23346698
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||468355||0||0||0||0||2523||0||1025||2||465834||25641787||537623||12968930||234900||12672857||302723||3446127||1733744||1611645||100738||257081||9226730||45642||25644310
