Header||cmf||Activos Bancos 1||202009||202101||1145||18
Banco Bice||6472944||1074589||902048||114473||2999||484||28264||67742||8882910||1339937||315064||455874||76378||40443||163752
Banco BTG Pactual Chile||1140066||204206||192045||72603||1866||135||2213||10721||2032398||161162||0||0||0||0||28928
Banco Consorcio||3732142||174320||2043697||81472||11697||2176||9034||3056||6142425||105155||66835||43497||67362||74039||181450
Banco de Chile||31569760||2134787||5287872||2985428||57572||48984||218147||128974||45329873||11095968||1325782||1577395||386725||305270||1287295
Banco de Crédito e Inversiones||37161868||3849105||7861334||5881527||196540||27845||249817||217321||57064330||10340873||958060||1550193||733650||501954||1598711
Banco del Estado de Chile||27601028||12312525||7010484||1733900||45166||17842||346970||98750||50741156||4578644||897444||810438||388006||862671||2543693
Banco do Brasil S.A.||34736||3793||0||39||0||0||34||361||38354||1087||9001||0||0||0||1796
Banco Falabella||3287681||211897||1246271||373519||15145||313||9376||25064||5356347||3177427||0||0||0||117536||268936
Banco Internacional||2234351||196849||654966||418077||0||340||2589||24717||3856613||466081||44444||187425||15839||58216||172003
Banco Ripley||678532||188443||189637||11207||0||12||2643||16710||1105229||1150047||0||0||0||37903||102910
Banco Santander-Chile||34880098||3210078||6121757||10404457||79795||10327||183474||197574||57168493||10796545||1556040||1393450||407646||543246||1845310
Banco Security||6311948||528468||1127642||228557||0||2095||21410||7604||8385887||1184981||191324||379454||0||151080||394978
Bank of China, Agencia en Chile||0||5731||26099||0||0||0||514||445||33253||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||226902||46373||0||174||0||0||79||438||276350||26632||37993||0||0||0||0
HSBC Bank (Chile)||157463||397771||461638||118967||0||273||664||2420||1334031||48111||27124||0||0||0||9633
Itaú Corpbanca||23532449||3943080||3027436||4466884||172087||14228||52339||185511||36777271||5650187||1145899||1256202||132203||502006||1533667
JP Morgan Chase Bank, N.A.||0||1001023||102266||292793||0||1016||573||2864||1595261||5000||0||0||0||0||0
Scotiabank Chile||25810767||1220367||2822738||5528737||116534||18996||106748||232342||37949350||6090694||1540604||717517||166038||387625||1147958
