Header||cmf||Activos Bancos 1||202004||202101||1145||18
Banco Bice||6695090||1229131||1090001||156311||0||484||28729||13938||9496172||1567067||421830||472112||92566||26007||144608
Banco BTG Pactual Chile||1054441||166480||159900||99374||5353||135||1997||11080||1834892||137938||0||0||0||0||13454
Banco Consorcio||3767712||451723||2032367||101950||8414||2660||9446||3430||6510664||111862||96260||42285||76171||81594||158779
Banco de Chile||31331552||2327191||5460219||4201372||40734||53614||224309||142865||47509335||11189801||1795962||1628480||633068||455773||990672
Banco de Crédito e Inversiones||37890924||4548211||8428094||6134059||194402||28817||261655||232273||60322346||10835202||1420138||1662282||899763||501440||1496060
Banco del Estado de Chile||27523166||5111100||10006703||2335946||198366||19401||350471||100361||47204771||4281551||1283655||836863||450712||1006547||2354656
Banco do Brasil S.A.||36479||7489||50100||28||0||0||43||447||93908||1682||12365||0||0||0||2116
Banco Falabella||3731203||224716||1504508||601895||15014||313||9435||25100||6174792||3172157||0||0||0||140092||276803
Banco Internacional||2267222||231795||461624||433428||0||338||2351||24245||3697696||495635||54903||192272||33011||43071||131932
Banco Ripley||812912||79869||185692||9604||0||12||2933||18399||1127885||1515946||0||0||0||56541||118899
Banco Santander-Chile||34455291||3120401||5751438||13932399||0||10694||192392||206234||59711154||11100986||2161273||1481322||528996||626786||1797210
Banco Security||6220479||486012||1207001||344119||0||2095||22067||7777||8550704||1242769||235979||371593||0||105811||306106
Bank of China, Agencia en Chile||0||6678||30887||0||0||0||567||547||39183||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||281962||48852||5213||150||0||0||106||629||339046||25107||52683||0||0||0||0
HSBC Bank (Chile)||230957||346254||482550||277570||0||273||745||2668||1522558||40612||18542||0||0||0||0
Itaú Corpbanca||23974950||2731088||4395539||5074214||103083||15973||55425||196851||38904163||5620676||1415484||1308089||169804||671461||1524880
JP Morgan Chase Bank, N.A.||0||1883556||196895||344581||0||1016||1138||3048||2508283||0||0||0||0||0||0
Scotiabank Chile||26571641||1852298||2350802||6611362||15760||16709||117052||235766||40657830||6354945||1991919||741518||235171||526247||1094307
