Header||cmf||Activos Bancos 1||201911||202101||1145||18
Banco Bice||6272862||1311414||666141||206754||5281||484||28634||14849||8853126||1652658||383996||515612||105648||21906||151249
Banco BTG Pactual Chile||877619||105453||271749||117847||10006||135||1789||10281||1767653||130402||0||0||0||0||8698
Banco Consorcio||3399593||249459||1530613||112545||11417||2299||9439||3567||5631456||91222||100106||44734||96023||31815||150324
Banco de Chile||30653712||2031591||2777307||4271255||83461||50232||220175||152012||43357503||11355034||1688328||1642251||629418||393298||852827
Banco de Crédito e Inversiones||34867021||3274155||6593499||5404943||151187||27182||279110||233591||52961437||10020782||1217207||1626681||916926||477108||1400508
Banco del Estado de Chile||26483827||6081170||7573218||2384820||80685||18377||351427||99938||45147132||4501936||1028987||836462||553149||949458||2096275
Banco do Brasil S.A.||57036||3052||83543||0||0||0||53||516||144054||2535||15406||0||0||0||0
Banco Falabella||3803452||499223||587281||747280||0||313||11476||27337||6142265||3476569||0||0||0||130479||250252
Banco Internacional||2020160||237889||374300||387266||102384||444||2271||24115||3389347||323118||65906||195203||27910||42367||115408
Banco Ripley||873870||30962||175647||14549||0||12||3065||19713||1148782||1632555||0||0||0||53961||113895
Banco Santander-Chile||32982984||3243890||3590886||11271103||0||10277||187310||205279||53206772||12189266||1923101||1460527||482323||625777||1913232
Banco Security||6038333||827909||678001||488596||3000||2095||22806||8316||8507601||1226696||260323||359574||0||91446||276561
Bank of China, Agencia en Chile||0||7960||38942||0||0||0||618||643||48888||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||222111||42357||9356||4802||0||0||164||817||282070||31406||40749||0||0||0||0
HSBC Bank (Chile)||329166||96123||475580||468200||0||273||938||2872||1525966||33123||20948||0||0||0||0
Itaú Corpbanca||23630096||1404403||3709374||3900530||199779||15003||56590||204077||36042946||6228231||1248706||1345404||188284||541437||1481853
JP Morgan Chase Bank, N.A.||0||387002||185738||372223||0||1016||1044||3975||1182406||2000||0||0||0||0||0
Scotiabank Chile||25215057||1295720||1549403||6197165||21849||16709||111412||238550||37141601||6892764||2389828||759244||240228||471094||953320
