Header||cmf||Activos Bancos 2||202006||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6552499||102860||5199535||98374||1352964||4486||155260||106467||38660||10133||2832||1197704||1654||6552499
Banco BTG Pactual Chile||90000||0||0||0||0||0||0||0||0||90000||1103564||22044||1103564||22044||0||0||0||0||0||0||0||0||0||1103564
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3787986||76861||3129183||70291||658803||6570||94518||90257||2043||2218||5381||564285||1189||3787986
Banco de Chile||1940990||0||0||0||0||241460||197541||43919||470||1700000||30841319||679274||17462386||376865||13378933||302409||4174149||2921409||1056400||196340||275818||9204784||26591||31082779
Banco de Crédito e Inversiones||493109||0||0||0||0||493679||493679||0||570||0||38378339||758967||25860750||405374||12517589||353593||3728119||2321476||1291769||114874||305809||8789470||47784||38872018
Banco del Estado de Chile||861515||0||0||0||0||865546||743771||83132||4031||0||27414993||959903||14996776||574634||12418217||385269||2067042||1706847||289009||71186||206821||10351175||178448||28280539
Banco do Brasil S.A.||3799||3800||3800||0||1||0||0||0||0||0||33877||1278||33877||1278||0||0||0||0||0||0||0||0||0||37677
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3543518||254509||82958||3379||3460560||251130||2946271||987177||1909773||49321||247298||514289||3832||3543518
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2216959||45626||2164710||44736||52249||890||12889||11003||954||932||716||39360||174||2216959
Banco Ripley||0||0||0||0||0||0||0||0||0||0||762332||105039||1090||224||761242||104815||736327||111272||625055||0||104696||24915||119||762332
Banco Santander-Chile||8717||7181||0||4832||9||1546||0||1546||1||0||35279236||978579||18280832||611098||16998404||367481||5067641||3831772||1082859||153010||299699||11930763||67782||35287963
Banco Security||0||0||0||0||0||0||0||0||0||0||6225354||104093||5026821||77936||1198533||26157||499409||328395||101355||69659||25060||699124||1097||6225354
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||272497||4327||272497||4327||0||0||0||0||0||0||0||0||0||272497
HSBC Bank (Chile)||16511||16468||16468||0||6||49||0||0||0||0||160940||12745||160772||12744||168||1||168||168||0||0||1||0||0||177457
Itaú Corpbanca||69585||0||0||0||0||69914||44947||0||329||0||24328730||819357||16591962||593255||7736768||226102||2600876||1945068||465408||190400||181932||5135892||44170||24398644
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||320196||0||0||0||0||86||0||0||0||320110||26537427||572620||13682229||271123||12855198||301497||3177537||1659012||1434807||83718||255524||9677661||45973||26537513
