Header||cmf||Activos Bancos 1||202006||202101||1145||19
Banco Bice||6552499||1208272||821359||146340||1980||484||27710||13370||9010450||1333589||379173||462721||83877||29354||163320
Banco BTG Pactual Chile||1103564||160288||285595||94127||4690||135||2064||10942||1867024||128927||0||0||0||0||28806
Banco Consorcio||3787986||860738||1550065||100804||9467||2139||9310||3338||6437397||115805||93979||41347||68872||43027||177454
Banco de Chile||31082779||2247451||5576749||3983317||47878||51273||221888||136025||46142637||11152624||1429181||1601160||440191||409578||1100508
Banco de Crédito e Inversiones||38872018||4201926||8289893||6889459||192617||28132||253637||231124||60873257||10738155||1230376||1633081||784914||525191||1586780
Banco del Estado de Chile||28280539||5455929||8688743||2193718||67405||18722||348600||98143||46850314||4456445||1271165||818202||402415||1033984||2489205
Banco do Brasil S.A.||37677||4524||0||53||0||0||40||413||42094||1591||11680||0||0||0||1786
Banco Falabella||3543518||276590||1056828||526082||15053||313||9639||24991||5750931||3238896||0||0||0||171525||311418
Banco Internacional||2216959||503712||485746||488073||0||340||2521||23834||4023065||506733||45854||190511||16869||48448||161860
Banco Ripley||762332||70911||215301||12119||0||12||2790||17818||1098991||1531686||0||0||0||61749||126951
Banco Santander-Chile||35287963||3776118||5502429||13498185||0||10012||189569||200890||61026743||11012962||1950794||1445652||432390||664754||1875052
Banco Security||6225354||421417||1272741||305500||0||2095||21870||8023||8438938||1250065||230032||377781||0||116130||346507
Bank of China, Agencia en Chile||0||7264||28722||0||0||0||542||508||37528||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||272497||30518||0||1004||0||0||87||552||307043||23818||50717||0||0||0||0
HSBC Bank (Chile)||177457||445611||450017||180320||0||273||699||2569||1430741||43477||18345||0||0||0||9973
Banco Nacional del Pueblo||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10||-10
Itaú Corpbanca||24398644||2129179||5298237||5419649||86118||15478||54596||193978||39011156||5665562||1366568||1319155||149380||579261||1552843
JP Morgan Chase Bank, N.A.||0||1174203||180891||358763||0||1016||1065||2850||1733170||12315||0||0||0||0||0
Scotiabank Chile||26537513||2238865||2426040||6664826||53308||16709||112534||237121||40732835||6603370||1769932||730364||209610||535314||1228093
